timestamp,status,bucket,relative_path,remote_path,bytes,message
2026-01-19T10:02:36.077Z,OK,archive-product,1.02 Cannock\2014 - Cannock Shopping Centre.pdf,prospects-and-clients-product-c044accb9f/1.02 Cannock/2014 - Cannock Shopping Centre.pdf,1556778,
2026-01-19T10:02:40.622Z,OK,archive-people,1.02 Cannock\2014 - Cannock.pptx,prospects-and-clients-people-c044accb9f/1.02 Cannock/2014 - Cannock.pptx,4735801,
2026-01-19T10:02:41.619Z,OK,archive-performance,1.02 Cannock\Atrium Balcony.jpg,prospects-and-clients-performance-c044accb9f/1.02 Cannock/Atrium Balcony.jpg,533032,
2026-01-19T10:02:42.271Z,OK,archive-performance,1.02 Cannock\Atrium.jpg,prospects-and-clients-performance-c044accb9f/1.02 Cannock/Atrium.jpg,467920,
2026-01-19T10:02:42.474Z,OK,archive-people,1.02 Cannock\Cannock 2014.xls,prospects-and-clients-people-c044accb9f/1.02 Cannock/Cannock 2014.xls,33280,
2026-01-19T10:02:42.900Z,OK,archive-people,1.02 Cannock\Cannock costing 2014.xls,prospects-and-clients-people-c044accb9f/1.02 Cannock/Cannock costing 2014.xls,98816,
2026-01-19T10:02:43.206Z,OK,archive-people,1.02 Cannock\Cannock Workings 2014 v1.xls,prospects-and-clients-people-c044accb9f/1.02 Cannock/Cannock Workings 2014 v1.xls,97792,
2026-01-19T10:02:43.535Z,OK,archive-people,1.02 Cannock\Cannock Workings 2014 v2.xls,prospects-and-clients-people-c044accb9f/1.02 Cannock/Cannock Workings 2014 v2.xls,98304,
2026-01-19T10:02:44.398Z,OK,archive-performance,1.02 Cannock\COVER.jpg,prospects-and-clients-performance-c044accb9f/1.02 Cannock/COVER.jpg,595833,
2026-01-19T10:02:45.261Z,OK,archive-performance,1.02 Cannock\Lower Mall.jpg,prospects-and-clients-performance-c044accb9f/1.02 Cannock/Lower Mall.jpg,631906,
2026-01-19T10:02:45.956Z,OK,archive-performance,1.02 Cannock\Market Hall St left.jpg,prospects-and-clients-performance-c044accb9f/1.02 Cannock/Market Hall St left.jpg,610894,
2026-01-19T10:02:46.906Z,OK,archive-performance,1.02 Cannock\Market Hall St right.jpg,prospects-and-clients-performance-c044accb9f/1.02 Cannock/Market Hall St right.jpg,614586,
2026-01-19T10:02:46.907Z,SKIP,,1.02 Cannock\Thumbs.db,,232448,SKIP_skip_ext:.db
2026-01-19T10:02:47.648Z,OK,archive-performance,1.02 Cannock\Upper Mall.jpg,prospects-and-clients-performance-c044accb9f/1.02 Cannock/Upper Mall.jpg,552522,
2026-01-19T10:02:48.146Z,OK,archive-people,1.02 The Chimes\1.02 Intu Uxbridge costs.xls,prospects-and-clients-people-c044accb9f/1.02 The Chimes/1.02 Intu Uxbridge costs.xls,118784,
2026-01-19T10:02:48.448Z,OK,archive-people,1.02 The Chimes\1.02 Project Plan - Example.xlsx,prospects-and-clients-people-c044accb9f/1.02 The Chimes/1.02 Project Plan - Example.xlsx,153801,
2026-01-19T10:03:07.028Z,OK,archive-people,1.02 The Chimes\2019 intu Uxbridge Christmas Decs  Brief (1).doc,prospects-and-clients-people-c044accb9f/1.02 The Chimes/2019 intu Uxbridge Christmas Decs  Brief (1).doc,22430208,
2026-01-19T10:03:26.432Z,OK,archive-people,1.02 The Chimes\2019 intu Uxbridge Christmas Decs  Brief.doc,prospects-and-clients-people-c044accb9f/1.02 The Chimes/2019 intu Uxbridge Christmas Decs  Brief.doc,22430208,
2026-01-19T10:03:27.245Z,OK,archive-people,1.02 The Chimes\2025\FP1.02 2025-2027 Cost Sheet.xlsx,prospects-and-clients-people-c044accb9f/1.02 The Chimes/2025/FP1.02 2025-2027 Cost Sheet.xlsx,109570,
2026-01-19T10:03:47.356Z,OK,archive-product,1.02 The Chimes\2025\proactis\The Chimes 2025 - Fizzco Christmas Proposal.pdf,prospects-and-clients-product-c044accb9f/1.02 The Chimes/2025/proactis/The Chimes 2025 - Fizzco Christmas Proposal.pdf,23786910,
2026-01-19T10:03:48.084Z,OK,archive-people,1.02 The Chimes\2025\proactis\The Chimes Xmas Decs 2024-26 Cost Model Template - Fizzco Opt 1.xlsx,prospects-and-clients-people-c044accb9f/1.02 The Chimes/2025/proactis/The Chimes Xmas Decs 2024-26 Cost Model Template - Fizzco Opt 1.xlsx,48039,
2026-01-19T10:03:48.325Z,OK,archive-people,1.02 The Chimes\2025\proactis\The Chimes Xmas Decs 2024-26 Cost Model Template - Fizzco Opt 2.xlsx,prospects-and-clients-people-c044accb9f/1.02 The Chimes/2025/proactis/The Chimes Xmas Decs 2024-26 Cost Model Template - Fizzco Opt 2.xlsx,48067,
2026-01-19T10:03:48.814Z,OK,archive-people,1.02 The Chimes\2025\proactis\The Chimes Xmas Decs 2024-26 Cost Model Template - Fizzco Opt 3.xlsx,prospects-and-clients-people-c044accb9f/1.02 The Chimes/2025/proactis/The Chimes Xmas Decs 2024-26 Cost Model Template - Fizzco Opt 3.xlsx,48047,
2026-01-19T10:04:08.134Z,OK,archive-product,1.02 The Chimes\2025\The Chimes 2025 - Fizzco Christmas Proposal.pdf,prospects-and-clients-product-c044accb9f/1.02 The Chimes/2025/The Chimes 2025 - Fizzco Christmas Proposal.pdf,23968977,
2026-01-19T10:04:26.590Z,OK,archive-product,1.02 The Chimes\2025\The Chimes 2025 Physical presentation v2.pdf,prospects-and-clients-product-c044accb9f/1.02 The Chimes/2025/The Chimes 2025 Physical presentation v2.pdf,21929062,
2026-01-19T10:04:26.591Z,SKIP,,1.02 The Chimes\2025\The Chimes 2025 Physical presentation v2.pptx,,596454775,SKIP_over_50MB (568.8MB)
2026-01-19T10:04:26.591Z,SKIP,,1.02 The Chimes\2025\The Chimes 2025.pptx,,596460863,SKIP_over_50MB (568.8MB)
2026-01-19T10:04:26.592Z,SKIP,,1.02 The Chimes\2025\Thumbs.db,,30208,SKIP_skip_ext:.db
2026-01-19T10:04:26.592Z,SKIP,,1.02 The Chimes\2025\videos\Deer sleigh void.mp4,,111623081,SKIP_over_50MB (106.5MB)
2026-01-19T10:04:26.592Z,SKIP,,1.02 The Chimes\2025\videos\Deer.mp4,,72852643,SKIP_over_50MB (69.5MB)
2026-01-19T10:05:01.617Z,OK,archive-performance,1.02 The Chimes\2025\videos\Exterior Tree.mp4,prospects-and-clients-performance-c044accb9f/1.02 The Chimes/2025/videos/Exterior Tree.mp4,42606026,
2026-01-19T10:05:01.617Z,SKIP,,1.02 The Chimes\2025\videos\Geo Tree_1.mp4,,164084984,SKIP_over_50MB (156.5MB)
2026-01-19T10:05:13.152Z,OK,archive-performance,1.02 The Chimes\2025\videos\Hally.mp4,prospects-and-clients-performance-c044accb9f/1.02 The Chimes/2025/videos/Hally.mp4,13751508,
2026-01-19T10:05:13.153Z,SKIP,,1.02 The Chimes\2025\videos\sleigh.mp4,,79302232,SKIP_over_50MB (75.6MB)
2026-01-19T10:05:13.823Z,OK,archive-product,1.02 The Chimes\Centre_Rules (1).pdf,prospects-and-clients-product-c044accb9f/1.02 The Chimes/Centre_Rules (1).pdf,295948,
